individual,color
Msp1_B14_2014,#FF0000
Msp1_B77_2014,#FF0000
Msp1_BEZAV_C30_2013,#FF0000
Msp1_BEZAV_C53_2013,#FF0000
Msp1_BF38_2017,#FF0000
Msp1_BIN.S_K53_2011,#FF0000
Msp1_E23_2014,#FF0000
Msp1_F28_2015,#FF0000
Msp1_F60_2015,#FF0000
Msp1_G40_2015,#FF0000
Msp1_MBB052,#FF0000
Msp1_SALAF_B66_2013,#FF0000
Msp1_SALAF_B77_2013,#FF0000
Mtan_AND6.1,#FFAA00
Mtan_AND6.4,#FFAA00
Mtan_RMR206,#FFAA00
Mtan_RMR207,#FFAA00
Mtan_RMR208,#FFAA00
Mtan_RMR209,#FFAA00
Mtan_RMR211_S12,#FFAA00
Mtan_RMR213_S12,#FFAA00
Mtav_AMBO_F37_2011,#0070FF
Mtav_AMPO_P39_2011,#0070FF
Mtav_ANALF_B22_2013,#0070FF
Mtav_ANALF_B28_2013,#0070FF
Mtav_ANALM_C56_2012,#0070FF
Mtav_ANDF_A28_2012,#0070FF
Mtav_ANKA_F137_2012,#0070FF
Mtav_ANTSB_H53_2011,#0070FF
Mtav_ANTSR_L16_2011,#0070FF
Mtav_BA15_2017,#0070FF
Mtav_BA79_2017,#0070FF
Mtav_BEK_D40_2011,#0070FF
Mtav_BEN_G62_2011,#0070FF
Mtav_BIN_C32_2010,#0070FF
Mtav_BJ18_2017,#0070FF
Mtav_C23_2013,#0070FF
Mtav_D72_2015,#0070FF
Mtav_SOL_K18_2011,#0070FF
